,gender,age,class,embarked,fare,sibsp,parch,survived
435,1,26.0,1,3,10.1,0,0,0
436,1,47.0,0,3,38.1,0,0,0
437,0,38.0,2,1,7.0407,0,0,1
438,1,21.0,2,1,7.0406,0,0,0
439,1,30.0,2,1,7.1711,0,0,0
440,0,22.0,0,1,59.08,0,1,1
441,0,44.0,0,1,59.08,0,1,1
442,0,35.0,0,3,211.1,0,0,1
443,1,23.0,0,1,79.04,0,0,0
444,1,47.0,1,3,10.1,0,0,0
445,1,19.0,1,3,11.1,1,0,0
446,1,21.0,1,3,11.1,1,0,0
447,1,24.0,1,3,13.1,0,0,0
448,1,23.0,2,3,8.01,0,0,0
449,1,31.0,1,3,13.0,0,0,0
450,1,24.0,1,3,13.0,0,0,0
451,0,17.0,2,2,7.1408,0,0,1
452,1,30.0,1,3,13.0,0,0,0
453,0,18.0,2,2,7.15,0,0,1
454,1,47.0,0,1,89.0201,1,0,1
455,0,40.0,0,1,89.0201,1,0,1
456,1,71.0,0,1,34.1301,0,0,0
457,1,9.0,2,3,20.1006,0,2,1
458,1,33.0,2,3,20.1006,1,1,0
459,1,41.0,2,3,7.17,0,0,0
460,0,31.0,2,3,20.1006,1,1,1
461,1,9.0,2,3,46.18,5,2,0
462,1,1.0,2,3,46.18,5,2,0
463,1,11.0,2,3,46.18,5,2,0
464,0,10.0,2,3,46.18,5,2,0
465,0,16.0,2,3,46.18,5,2,0
466,1,14.0,2,3,46.18,5,2,0
467,1,42.0,2,3,46.18,1,6,0
468,0,43.0,2,3,46.18,1,6,0
469,1,53.0,0,3,28.1,0,0,1
470,0,19.0,0,3,153.0903,0,0,1
471,1,38.0,0,3,30.0,0,1,0
472,0,59.0,0,3,153.0903,0,1,1
473,1,52.0,1,3,13.0,0,0,0
474,0,45.0,0,1,63.0702,0,1,1
475,1,23.0,0,1,63.0702,0,1,1
476,1,20.0,4,3,0.0,0,0,0
477,1,41.0,2,3,8.01,0,0,0
478,1,32.0,2,3,8.0615,0,0,0
479,1,25.0,2,3,8.01,0,0,0
480,1,46.0,0,1,79.04,0,0,0
481,1,19.0,2,3,9.1611,0,0,0
482,1,37.0,2,3,7.1806,2,0,0
483,1,28.0,2,3,7.1806,2,0,0
484,1,19.0,2,3,7.1506,0,0,0
485,0,24.0,2,3,8.17,0,0,0
486,1,28.0,2,3,6.1904,1,0,0
487,1,19.0,2,3,6.1904,1,0,0
488,1,28.0,2,3,15.17,1,0,0
489,0,24.0,2,3,15.17,1,0,1
490,1,30.0,1,3,13.0,0,0,0
491,1,0.5833333333,1,3,14.1,1,1,1
492,0,23.0,1,3,14.1,0,2,1
493,1,19.0,2,3,9.1,0,0,0
494,1,27.0,2,1,7.0407,0,0,1
495,1,18.0,2,1,7.0406,0,0,0
496,1,35.0,2,1,7.0407,0,0,0
497,1,41.0,2,3,14.0202,2,0,0
498,1,26.0,2,3,7.1701,1,0,0
499,1,21.0,2,3,7.1701,0,0,0
500,0,45.0,2,3,14.0202,1,0,1
501,1,45.0,1,3,13.0,0,0,0
502,1,25.0,0,1,55.081,1,0,1
503,0,21.0,0,1,55.081,1,0,1
504,0,17.0,2,2,7.1408,0,0,0
505,0,21.0,2,3,7.11,0,0,0
506,0,6.0,1,3,33.0,0,1,1
507,1,48.0,0,1,76.1407,1,0,1
508,0,49.0,0,1,76.1407,1,0,1
509,1,39.0,1,3,33.0,0,1,0
510,1,37.0,0,3,42.08,0,0,0
511,1,62.0,1,3,10.1,0,0,1
512,1,45.0,0,3,83.0906,1,0,0
513,0,35.0,0,3,83.0906,1,0,1
514,1,45.0,1,3,10.1,0,0,0
515,1,46.0,0,3,89.0,0,0,0
516,1,33.0,1,3,22.0,0,0,0
517,0,7.0,1,3,26.05,0,2,1
518,1,47.0,1,3,26.05,1,1,0
519,1,29.0,2,2,6.1702,0,0,0
520,0,48.0,1,3,26.05,1,1,1
521,1,27.0,0,1,76.1407,0,0,1
522,1,45.0,0,3,30.0,0,0,1
523,0,24.0,0,1,83.0302,0,0,1
524,1,55.0,0,3,93.1,1,1,0
525,0,52.0,0,3,93.1,1,1,1
526,1,42.0,0,3,42.1,0,0,0
527,0,33.0,2,2,7.15,0,0,1
528,1,27.0,2,3,6.1906,0,0,1
529,1,24.0,2,3,56.0911,0,0,1
530,0,20.0,2,2,6.15,0,0,0
531,0,16.0,2,3,7.1806,0,0,1
532,0,23.0,2,3,7.1806,0,0,0
533,0,22.0,2,3,8.1903,0,0,1
534,1,30.0,2,3,7.1711,0,0,0
535,0,28.0,2,3,7.1506,0,0,0
536,0,21.0,2,2,7.15,0,0,0
537,0,24.0,1,3,65.0,1,2,1
538,0,24.0,1,3,65.0,1,2,1
539,1,50.0,1,3,65.0,1,2,0
540,0,50.0,1,3,65.0,1,2,1
541,0,56.0,1,3,16.0,0,0,1
542,1,24.0,1,3,73.1,2,0,0
543,1,30.0,1,3,73.1,2,0,0
544,1,21.0,1,3,73.1,2,0,0
545,1,44.0,0,3,51.1703,0,0,0
546,0,18.0,1,3,13.0,1,1,0
547,1,55.0,0,3,50.0,0,0,0
548,0,17.0,0,1,57.1907,0,1,1
549,0,44.0,0,1,57.1907,0,1,1
550,0,2.0,2,3,12.0509,0,1,1
551,0,22.0,2,3,12.0509,1,1,1
552,0,20.0,1,3,23.0,2,1,1
553,1,24.0,1,3,11.1,2,1,0
554,1,36.0,1,3,13.0,0,0,0
555,0,54.0,1,3,23.0,1,3,1
556,1,50.0,1,3,13.0,0,0,0
557,0,51.0,0,1,77.1902,1,0,1
558,0,29.0,1,3,26.0,1,0,1
559,1,44.0,1,3,26.0,1,0,0
560,1,43.0,2,3,6.09,0,0,0
561,1,18.0,2,3,22.1006,0,0,0
562,1,42.0,0,3,52.0,1,0,0
563,0,35.0,0,3,52.0,1,0,1
564,1,40.0,0,3,26.11,0,0,1
565,0,27.0,2,3,7.1806,0,0,1
566,1,21.0,1,3,73.1,0,0,0
567,1,22.0,2,2,7.15,0,0,0
568,1,41.0,1,3,13.0,0,0,1
569,0,26.0,2,3,8.01,0,0,1
570,1,63.0,1,3,26.0,1,0,0
571,0,61.0,1,3,26.0,1,0,0
572,1,38.0,0,3,100.0,1,0,1
573,0,31.0,0,3,100.0,1,0,1
574,1,43.0,0,1,30.1311,0,0,0
575,1,42.0,2,3,7.13,0,0,0
576,1,21.0,1,3,22.0,0,0,0
577,1,34.0,1,3,12.0506,0,0,0
578,1,34.0,2,3,7.1709,0,0,1
579,1,11.0,2,1,18.1509,0,0,0
580,0,18.0,2,1,7.0407,0,0,1
581,1,33.0,2,1,14.0902,0,0,0
582,0,39.0,0,3,80.0,0,0,1
583,0,17.0,1,3,10.1,0,0,1
584,1,32.0,2,3,7.1711,0,0,0
585,0,17.0,2,3,7.1806,1,0,0
586,0,25.0,2,3,7.1806,1,0,0
587,0,50.0,0,1,28.1403,0,0,0
588,1,49.0,0,3,89.0,0,0,1
589,1,20.0,2,3,7.1711,0,0,0
590,0,16.0,2,1,14.0901,1,0,0
591,0,19.0,2,1,14.0901,1,0,0
592,0,24.0,1,3,27.0,2,1,1
593,1,42.0,1,3,27.0,1,0,0
594,1,30.0,2,1,7.1711,0,0,1
595,1,21.0,2,3,7.1511,0,0,1
596,1,21.0,2,3,7.01,0,0,0
597,1,46.0,1,3,15.0,0,0,0
598,1,24.0,1,3,31.1,2,0,0
599,1,21.0,1,3,31.1,2,0,0
600,1,32.0,1,3,10.1,0,0,0
601,1,20.0,2,3,7.1701,0,0,0
602,1,48.0,2,3,7.0101,0,0,0
603,1,17.0,2,3,7.1701,1,0,0
604,0,26.0,2,2,7.15,0,0,1
605,0,23.0,1,1,13.151,0,0,1
606,1,29.0,2,3,8.0203,0,0,1
607,1,34.0,2,3,6.0911,0,0,0
608,1,22.0,2,3,7.1511,0,0,0
609,1,33.0,2,3,8.1301,0,0,0
610,1,31.0,2,3,7.1506,0,0,0
611,1,29.0,2,3,7.1701,0,0,0
612,1,26.0,2,3,7.1506,0,0,1
613,1,4.0,2,3,11.0208,1,1,1
614,0,1.0,2,3,11.0208,1,1,1
615,1,49.0,2,3,13.0,0,0,0
616,1,33.0,2,3,7.1506,0,0,0
617,0,26.0,2,3,11.0208,0,2,1
618,1,19.0,2,3,13.0,0,0,0
619,1,8.0,2,3,23.09,1,2,0
620,0,7.0,2,3,23.09,1,2,0
